Date,Temp
1908/04,-0.544
1908/05,-0.477454545
1908/06,-0.482090909
1908/07,-0.477909091
1908/08,-0.540454545
1908/09,-0.459
1908/10,-0.586363636
1908/11,-0.598272727
1908/12,-0.577636364
1909/01,-0.582727273
1909/02,-0.546727273
1909/03,-0.687636364
1909/04,-0.608181818
1909/05,-0.593090909
1909/06,-0.522909091
1909/07,-0.585818182
1909/08,-0.325909091
1909/09,-0.403636364
1909/10,-0.481636364
1909/11,-0.436727273
1909/12,-0.600272727
1910/01,-0.359818182
1910/02,-0.518727273
1910/03,-0.484636364
1910/04,-0.452
1910/05,-0.477272727
1910/06,-0.488363636
1910/07,-0.468
1910/08,-0.446
1910/09,-0.443727273
1910/10,-0.485
1910/11,-0.655272727
1910/12,-0.669818182
1911/01,-0.557818182
1911/02,-0.768545455
1911/03,-0.698636364
1911/04,-0.717272727
1911/05,-0.606272727
1911/06,-0.576272727
1911/07,-0.515181818
1911/08,-0.502909091
1911/09,-0.513
1911/10,-0.465545455
1911/11,-0.379818182
1911/12,-0.291727273
1912/01,-0.363454545
1912/02,-0.298909091
1912/03,-0.384090909
1912/04,-0.335727273
1912/05,-0.381545455
1912/06,-0.322
1912/07,-0.457454545
1912/08,-0.559727273
1912/09,-0.565454545
1912/10,-0.643909091
1912/11,-0.516363636
1912/12,-0.486636364
1913/01,-0.465818182
1913/02,-0.516181818
1913/03,-0.534090909
1913/04,-0.430727273
1913/05,-0.513090909
1913/06,-0.510454545
1913/07,-0.442818182
1913/08,-0.395636364
1913/09,-0.429909091
1913/10,-0.429818182
1913/11,-0.272272727
1913/12,-0.236545455
1914/01,-0.093454545
1914/02,-0.229272727
1914/03,-0.334454545
1914/04,-0.387454545
1914/05,-0.284636364
1914/06,-0.292272727
1914/07,-0.337454545
1914/08,-0.217
1914/09,-0.262818182
1914/10,-0.153181818
1914/11,-0.178090909
1914/12,-0.246272727
1915/01,-0.117090909
1915/02,-0.058909091
1915/03,-0.194727273
1915/04,-0.055636364
1915/05,-0.223454545
1915/06,-0.223090909
1915/07,-0.116363636
1915/08,-0.078272727
1915/09,-0.143727273
1915/10,-0.258727273
1915/11,-0.140181818
1915/12,-0.255818182
1916/01,-0.243636364
1916/02,-0.187727273
1916/03,-0.403909091
1916/04,-0.341909091
1916/05,-0.366090909
1916/06,-0.473545455
1916/07,-0.378363636
1916/08,-0.348090909
1916/09,-0.344363636
1916/10,-0.404363636
1916/11,-0.573454545
1916/12,-0.627090909
1917/01,-0.684181818
1917/02,-0.761636364
1917/03,-0.825
1917/04,-0.475636364
1917/05,-0.660363636
1917/06,-0.353090909
1917/07,-0.120363636
1917/08,-0.222454545
1917/09,-0.124727273
1917/10,-0.390181818
1917/11,-0.397454545
1917/12,-0.626
1918/01,-0.506181818
1918/02,-0.525454545
1918/03,-0.445727273
1918/04,-0.490909091
1918/05,-0.429090909
1918/06,-0.333090909
1918/07,-0.341909091
1918/08,-0.363090909
1918/09,-0.241818182
1918/10,-0.099545455
1918/11,-0.034181818
1918/12,-0.227545455
1919/01,-0.098727273
1919/02,-0.080272727
1919/03,-0.303090909
1919/04,-0.073272727
1919/05,-0.268272727
1919/06,-0.253727273
1919/07,-0.361
1919/08,-0.331272727
1919/09,-0.232545455
1919/10,-0.306
1919/11,-0.532454545
1919/12,-0.456545455
1920/01,-0.244
1920/02,-0.428636364
1920/03,-0.120909091
1920/04,-0.261545455
1920/05,-0.194
1920/06,-0.214363636
1920/07,-0.291363636
1920/08,-0.229454545
1920/09,-0.139272727
1920/10,-0.224090909
1920/11,-0.283909091
1920/12,-0.345545455
1921/01,-0.136
1921/02,-0.181
1921/03,-0.248909091
1921/04,-0.224545455
1921/05,-0.207272727
1921/06,-0.120909091
1921/07,-0.138818182
1921/08,-0.276636364
1921/09,-0.163454545
1921/10,-0.141
1921/11,-0.301545455
1921/12,-0.154
1922/01,-0.398
1922/02,-0.275818182
1922/03,-0.265818182
1922/04,-0.229636364
1922/05,-0.383727273
1922/06,-0.322636364
1922/07,-0.229454545
1922/08,-0.344181818
1922/09,-0.283909091
1922/10,-0.321818182
1922/11,-0.288818182
1922/12,-0.306181818
1923/01,-0.229272727
1923/02,-0.417181818
1923/03,-0.405454545
1923/04,-0.358454545
1923/05,-0.323
1923/06,-0.248909091
1923/07,-0.349636364
1923/08,-0.376
1923/09,-0.322454545
1923/10,-0.264636364
1923/11,-0.021454545
1923/12,-0.005272727
1924/01,-0.314181818
1924/02,-0.203272727
1924/03,-0.268181818
1924/04,-0.276636364
1924/05,-0.241909091
1924/06,-0.219181818
1924/07,-0.266
1924/08,-0.275090909
1924/09,-0.276909091
1924/10,-0.314727273
1924/11,-0.363090909
1924/12,-0.529272727
1925/01,-0.397818182
1925/02,-0.306090909
1925/03,-0.220272727
1925/04,-0.272818182
1925/05,-0.261272727
1925/06,-0.258909091
1925/07,-0.218454545
1925/08,-0.125363636
1925/09,-0.188727273
1925/10,-0.305181818
1925/11,-0.058454545
1925/12,0.006727273
1926/01,0.088363636
1926/02,-0.042090909
1926/03,-0.020545455
1926/04,-0.166181818
1926/05,-0.220727273
1926/06,-0.094636364
1926/07,-0.236363636
1926/08,-0.084545455
1926/09,-0.103272727
1926/10,-0.085090909
1926/11,-0.111545455
1926/12,-0.238545455
1927/01,-0.251818182
1927/02,-0.147272727
1927/03,-0.325545455
1927/04,-0.258454545
1927/05,-0.261909091
1927/06,-0.240636364
1927/07,-0.147454545
1927/08,-0.141545455
1927/09,-0.131545455
1927/10,-0.040545455
1927/11,-0.174090909
1927/12,-0.429636364
1928/01,-0.049454545
1928/02,-0.139090909
1928/03,-0.338
1928/04,-0.252909091
1928/05,-0.288727273
1928/06,-0.347363636
1928/07,-0.166090909
1928/08,-0.170636364
1928/09,-0.223
1928/10,-0.167454545
1928/11,-0.159363636
1928/12,-0.237727273
1929/01,-0.479454545
1929/02,-0.667454545
1929/03,-0.402818182
1929/04,-0.388272727
1929/05,-0.391272727
1929/06,-0.353545455
1929/07,-0.363454545
1929/08,-0.187545455
1929/09,-0.265272727
1929/10,-0.179545455
1929/11,-0.075363636
1929/12,-0.477090909
1930/01,-0.331636364
1930/02,-0.294454545
1930/03,-0.152363636
1930/04,-0.194
1930/05,-0.199636364
1930/06,-0.163181818
1930/07,-0.119
1930/08,-0.053545455
1930/09,-0.078909091
1930/10,-0.090636364
1930/11,0.074272727
1930/12,-0.078090909
1931/01,-0.004454545
1931/02,-0.153
1931/03,-0.117454545
1931/04,-0.180090909
1931/05,-0.167363636
1931/06,-0.036545455
1931/07,0.007
1931/08,-0.042363636
1931/09,-0.048454545
1931/10,-0.037090909
1931/11,-0.150636364
1931/12,-0.107363636
1932/01,0.159818182
1932/02,-0.192818182
1932/03,-0.235090909
1932/04,-0.066272727
1932/05,-0.171272727
1932/06,-0.194090909
1932/07,-0.127545455
1932/08,-0.192363636
1932/09,-0.038636364
1932/10,-0.168727273
1932/11,-0.233272727
1932/12,-0.197454545
1933/01,-0.286545455
1933/02,-0.318909091
1933/03,-0.338454545
1933/04,-0.218818182
1933/05,-0.212818182
1933/06,-0.260818182
1933/07,-0.185363636
1933/08,-0.171272727
1933/09,-0.235363636
1933/10,-0.194363636
1933/11,-0.312636364
1933/12,-0.530636364
1934/01,-0.220636364
1934/02,-0.163090909
1934/03,-0.385909091
1934/04,-0.249090909
1934/05,-0.082636364
1934/06,-0.042363636
1934/07,-0.064090909
1934/08,-0.054090909
1934/09,-0.095727273
1934/10,-0.081636364
1934/11,0.022181818
1934/12,-0.137363636
1935/01,-0.225181818
1935/02,0.103363636
1935/03,-0.219363636
1935/04,-0.266909091
1935/05,-0.244818182
1935/06,-0.185636364
1935/07,-0.143545455
1935/08,-0.149090909
1935/09,-0.137090909
1935/10,-0.073363636
1935/11,-0.299181818
1935/12,-0.269545455
1936/01,-0.299727273
1936/02,-0.355727273
1936/03,-0.289454545
1936/04,-0.202181818
1936/05,-0.153363636
1936/06,-0.162
1936/07,-0.022181818
1936/08,-0.039818182
1936/09,-0.105363636
1936/10,-0.000454545
1936/11,-0.070545455
1936/12,-0.015
1937/01,-0.123909091
1937/02,0.037181818
1937/03,-0.269363636
1937/04,-0.128363636
1937/05,-0.082272727
1937/06,-0.007636364
1937/07,0.05
1937/08,0.084727273
1937/09,0.111454545
1937/10,0.124909091
1937/11,0.000454545
1937/12,-0.107181818
1938/01,0.016727273
1938/02,0.017
1938/03,0.068090909
1938/04,0.084363636
1938/05,-0.091090909
1938/06,-0.060272727
1938/07,-0.045909091
1938/08,0.016727273
1938/09,0.061272727
1938/10,0.149363636
1938/11,0.017363636
1938/12,-0.297818182
1939/01,-0.067818182
1939/02,-0.045181818
1939/03,-0.257090909
1939/04,-0.094545455
1939/05,-0.030727273
1939/06,0.060727273
1939/07,0.051636364
1939/08,0.042454545
1939/09,-0.071363636
1939/10,-0.272545455
1939/11,-0.121545455
1939/12,0.214181818
1940/01,-0.185181818
1940/02,-0.034272727
1940/03,-0.105545455
1940/04,0.064545455
1940/05,0.025181818
1940/06,0.037272727
1940/07,0.140727273
1940/08,0.050636364
1940/09,0.126727273
1940/10,0.013363636
1940/11,-0.062
1940/12,0.157636364
1941/01,-0.095909091
1941/02,-0.018636364
1941/03,-0.141181818
1941/04,0.021363636
1941/05,-0.023090909
1941/06,0.120636364
1941/07,0.114636364
1941/08,0.018272727
1941/09,-0.130454545
1941/10,0.216454545
1941/11,0.050909091
1941/12,0.097909091
1942/01,0.211090909
1942/02,-0.079727273
1942/03,-0.091545455
1942/04,-0.064636364
1942/05,-0.013181818
1942/06,0.032545455
1942/07,-0.075909091
1942/08,-0.064909091
1942/09,0.003727273
1942/10,-0.078363636
1942/11,-0.073181818
1942/12,0.008818182
1943/01,-0.202727273
1943/02,0.068636364
1943/03,-0.202272727
1943/04,0.004363636
1943/05,-0.015363636
1943/06,-0.095090909
1943/07,-0.002
1943/08,-0.002909091
1943/09,-0.016454545
1943/10,0.233
1943/11,0.025727273
1943/12,0.194272727
1944/01,0.289454545
1944/02,0.141363636
1944/03,0.146
1944/04,0.054545455
1944/05,0.066272727
1944/06,0.149363636
1944/07,0.219636364
1944/08,0.234272727
1944/09,0.301818182
1944/10,0.209272727
1944/11,0.007090909
1944/12,-0.023454545
1945/01,-0.004454545
1945/02,-0.085545455
1945/03,-0.040363636
1945/04,0.164454545
1945/05,-0.099818182
1945/06,0.004181818
1945/07,-0.082
1945/08,0.361909091
1945/09,0.162
1945/10,0.182090909
1945/11,-0.012727273
1945/12,-0.206
1946/01,0.100818182
1946/02,0.046818182
1946/03,-0.063
1946/04,0.135090909
1946/05,-0.123181818
1946/06,-0.264909091
1946/07,-0.046909091
1946/08,-0.148090909
1946/09,-0.009818182
1946/10,-0.045636364
1946/11,-0.094090909
1946/12,-0.358818182
1947/01,-0.115727273
1947/02,-0.179727273
1947/03,-0.065727273
1947/04,0.096272727
1947/05,-0.062090909
1947/06,0.006636364
1947/07,-0.003454545
1947/08,-0.039272727
1947/09,-0.074909091
1947/10,0.080090909
1947/11,0.038545455
1947/12,-0.176727273
1948/01,0.090727273
1948/02,-0.123454545
1948/03,-0.172818182
1948/04,-0.042818182
1948/05,0.106454545
1948/06,0.074363636
1948/07,-0.106727273
1948/08,-0.001545455
1948/09,-0.058545455
1948/10,0.034818182
1948/11,-0.052818182
1948/12,-0.203545455
1949/01,0.150272727
1949/02,-0.143454545
1949/03,-0.176363636
